CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
ATP6V1C2_66192	ATP6V1C2	418	464	265	358
FAM153A_68211	FAM153A	612	934	749	1010
MEGF6_5379	MEGF6	1383	1627	1338	1697
TNFAIP8L2-SCNM1_76192	TNFAIP8L2-SCNM1	177	265	497	497
PCDHGB4_22531	PCDHGB4	352	587	459	592
SYNGAP1_23128	SYNGAP1	656	724	618	704
UCN3_57097	UCN3	2025	2299	1455	1991
NMT2_24708	NMT2	729	728	817	957
AUP1_1519	AUP1	1680	2217	2142	2270
FAM212A_71284	FAM212A	1342	1477	1556	1756
MRPL38_48322	MRPL38	111	250	338	425
HOXB7_8704	HOXB7	1330	1350	1399	1607
MT1X_11835	MT1X	1302	1452	1213	1272
TNFRSF8_2640	TNFRSF8	1157	1294	1029	1279
ORMDL2_36458	ORMDL2	1038	1208	1253	1378
SCN9A_16915	SCN9A	1885	2216	1771	1858
SP8_65900	SP8	2118	2393	2314	2190
C17orf82_71024	C17orf82	352	427	333	414
MXD4_28652	MXD4	2511	2694	2113	2251
SRL_16956	SRL	757	866	974	903
CYB5RL_73607	CYB5RL	1109	1154	1088	1197
LTBP2_10848	LTBP2	876	1059	868	1030
AGTRAP_44933	AGTRAP	351	339	445	498
ZFAND2A_55570	ZFAND2A	1195	1480	1161	1131
KDM5A_15883	KDM5A	819	865	822	871
STRADB_42518	STRADB	1175	1076	1377	1253
FAM107A_30358	FAM107A	451	539	425	424
CFAP126_66879	CFAP126	861	938	710	937
CXorf36_49818	CXorf36	1820	1720	1761	1920
MYO1G_47264	MYO1G	1467	1676	1308	1549
MBTD1_40597	MBTD1	951	1037	1087	1201
MIER2_40157	MIER2	1974	2201	1523	1888
EEF2K_36748	EEF2K	645	787	512	606
FOXP2_56623	FOXP2	1065	1021	1025	1180
LY6H_10884	LY6H	681	732	369	377
FABP1_6002	FABP1	2417	2574	1963	2284
ETV5_5863	ETV5	1113	1231	858	914
RPL28_16408	RPL28	242	353	275	413
ARPC4_26978	ARPC4	776	741	1108	1335
TMEM63B_42458	TMEM63B	1502	1596	1482	1839
TMED6_61600	TMED6	626	821	621	672
SEMA4G_46313	SEMA4G	1497	2053	1687	1973
ZNF814_75035	ZNF814	2069	2549	2080	2152
GTF2IRD1_25243	GTF2IRD1	1940	1784	1732	2041
SLC2A11_48614	SLC2A11	1593	1670	1597	1952
CHMP6_49490	CHMP6	314	320	560	452
PPAT_14512	PPAT	674	864	861	778
GPR142_70028	GPR142	520	638	565	517
LAMTOR1_41288	LAMTOR1	422	368	485	474
CIZ1_33717	CIZ1	835	730	815	806
FAM179B_31778	FAM179B	1763	1705	1655	1606
RPL35A_16428	RPL35A	242	239	1236	1260
MAVS_45666	MAVS	402	598	691	685
OTOS_62368	OTOS	612	688	496	554
DCAF10_49142	DCAF10	732	870	721	674
MYO1G_47265	MYO1G	882	1166	1170	1115
POLM_36134	POLM	1011	1359	1226	1292
SPTSSB_63851	SPTSSB	629	792	512	572
ZNF366_63959	ZNF366	718	806	805	907
ATP10A_45265	ATP10A	290	264	291	251
KLHL25_47734	KLHL25	1532	1693	1714	1991
SIGLEC10_55118	SIGLEC10	649	736	558	614
PDXDC1_31560	PDXDC1	474	472	714	614
GZF1_47742	GZF1	857	929	548	618
AEBP1_472	AEBP1	1369	1632	1657	1836
COA6_71184	COA6	220	523	692	722
