CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
SLC25A24_36906	SLC25A24	912	717	1242	1160
FASTKD3_48855	FASTKD3	1370	1569	1134	1183
BCAS2_27637	BCAS2	617	679	878	815
GPR18_7545	GPR18	688	781	584	585
ZNF470_71081	ZNF470	678	702	589	581
CENPC_3033	CENPC	245	184	412	525
CIAPIN1_44855	CIAPIN1	729	866	491	539
NDUFA12_43791	NDUFA12	400	327	232	317
QTRTD1_49643	QTRTD1	375	515	317	403
STAP1_34783	STAP1	703	736	529	547
ABCG2_24809	ABCG2	1582	2049	1364	1521
ENKUR_65341	ENKUR	956	922	902	1125
NAV1_55127	NAV1	1538	1860	1535	1499
COL4A5_3577	COL4A5	410	514	383	420
RBKS_47311	RBKS	830	853	616	761
MFSD8_66773	MFSD8	1066	1350	1196	1235
LLPH_53391	LLPH	390	414	448	414
FCAMR_52715	FCAMR	1429	1738	1342	1573
STRN_18433	STRN	936	1072	910	902
TBC1D7_38263	TBC1D7	837	744	658	986
ABT1_36603	ABT1	361	389	695	722
HIST1H2BF_21669	HIST1H2BF	864	922	463	604
FAM217A_66061	FAM217A	819	909	497	666
SUCO_38743	SUCO	796	780	650	612
AFM_481	AFM	566	822	778	743
AVPR1B_1529	AVPR1B	513	544	350	461
MNS1_42343	MNS1	1521	1844	1306	1446
OR4D11_65505	OR4D11	1141	1350	993	1062
METTL17_47927	METTL17	165	235	454	421
RPS20_16589	RPS20	119	203	797	652
MCTP2_43363	MCTP2	636	653	432	556
CYP3A7-CYP3A51P_76238	CYP3A7-CYP3A51P	1116	1094	783	828
CYP3A4_4397	CYP3A4	666	605	658	776
SYT9_61173	SYT9	593	616	531	706
CCR4_3449	CCR4	888	1170	696	920
CYP7B1_24781	CYP7B1	1855	1641	1513	1629
TTLL2_52611	TTLL2	2137	2256	1864	2291
PGK1_13809	PGK1	877	1270	1245	1550
MPZ_11729	MPZ	1181	1156	1094	1206
EML1_5537	EML1	384	460	687	788
ALDH6A1_11645	ALDH6A1	1134	1108	1094	1443
ZNF506_72945	ZNF506	306	463	424	303
HOXC11_8737	HOXC11	1307	1206	1488	1798
PIWIL3_73013	PIWIL3	1172	1291	846	973
RPS3A_16493	RPS3A	155	300	1089	936
OR10T2_59513	OR10T2	1252	1394	1082	1354
TSHZ2_59569	TSHZ2	354	336	309	317
TRPC5_19609	TRPC5	1500	1549	1362	1355
KIF3B_24633	KIF3B	771	756	685	882
CRELD1_48623	CRELD1	510	580	634	857
SPHAR_28761	SPHAR	460	555	307	401
RAD50_27041	RAD50	468	461	804	694
CEP152_31407	CEP152	879	1051	1384	1317
CCDC167_62897	CCDC167	258	253	161	286
BATF2_57625	BATF2	683	718	942	930
SLC25A13_27225	SLC25A13	1649	1756	1197	1673
LRRIQ3_59321	LRRIQ3	1003	1139	1013	1096
FKBP5_6365	FKBP5	647	731	583	637
SLC2A14_61289	SLC2A14	815	1215	848	835
ACTR10_43603	ACTR10	138	142	549	653
ETAA1_39987	ETAA1	753	543	435	585
EIF2B1_5421	EIF2B1	352	497	579	722
FAM162A_35015	FAM162A	1020	1018	1037	1317
EEF1E1_25089	EEF1E1	707	680	862	931
RBM28_41663	RBM28	823	964	1019	1066
CEP44_51379	CEP44	554	839	801	912
TIGD2_63913	TIGD2	806	989	921	1065
CSH2_4041	CSH2	785	838	791	999
NRXN3_24625	NRXN3	465	467	496	683
PARPBP_41311	PARPBP	1232	1225	1206	1472
RPL22_16373	RPL22	434	600	1177	1392
CAMK2D_2261	CAMK2D	1088	1131	808	955
OR4S1_66717	OR4S1	1785	1729	1959	2516
ACP6_38135	ACP6	125	62	406	545
EDEM3_51027	EDEM3	778	836	680	837
EWSR1_5893	EWSR1	643	659	811	695
IL17F_56841	IL17F	857	1070	658	829
COG5_28177	COG5	568	511	563	717
CXXC4_51115	CXXC4	1090	1208	765	1073
OR2A25_72001	OR2A25	447	608	659	656
DEFB126_51823	DEFB126	476	529	369	431
ZNF292_31535	ZNF292	357	358	452	617
KCNRG_67401	KCNRG	1159	1803	1159	1467
UBN2_66393	UBN2	566	443	561	735
PVALB_15549	PVALB	852	980	922	965
SMEK2_45315	SMEK2	766	1073	666	769
CSF2RA_4021	CSF2RA	1310	1435	1010	1154
C2CD2_34215	C2CD2	1062	1039	754	1034
MFN1_42987	MFN1	1021	1319	871	1429
NUDCD3_32655	NUDCD3	1008	1340	1049	1285
TMEM257_24001	TMEM257	561	693	639	709
SLC17A8_66209	SLC17A8	906	1100	1011	1024
FEZF1_71413	FEZF1	703	767	581	828
NXPH1_37039	NXPH1	1393	1576	1064	1109
MAN2A1_11081	MAN2A1	1044	1549	788	1119
ANKRD18A_66329	ANKRD18A	848	851	535	527
TMEM194A_32399	TMEM194A	386	382	362	379
PIK3CB_13973	PIK3CB	1814	2069	1326	1553
ORC2_13097	ORC2	1198	1456	1404	1306
OLFML1_67301	OLFML1	1264	1330	1580	1479
CCDC146_46091	CCDC146	286	349	359	381
CCDC172_70257	CCDC172	917	971	890	1029
PALLD_31483	PALLD	1196	1486	1085	1536
CEP162_30935	CEP162	804	910	529	593
RGS7BP_72377	RGS7BP	1446	1697	1435	1616
NCAPG_47479	NCAPG	69	64	651	654
CCNT1_2517	CCNT1	709	753	817	924
GTF2E2_7937	GTF2E2	517	536	1346	995
LILRA4_33123	LILRA4	1957	2146	2017	2168
GAK_6813	GAK	527	543	1121	987
ELP3_41691	ELP3	472	1101	1046	1091
DAPL1_56145	DAPL1	1830	1896	1551	1848
CCDC175_74968	CCDC175	1346	1245	1467	1291
DAAM1_31431	DAAM1	1214	1006	1094	938
GOLGA6C_74374	GOLGA6C	983	1455	1146	1189
LOC149373_62157	LOC149373	387	508	489	417
RHOA_1105	RHOA	433	388	547	530
GMPPA_36803	GMPPA	978	1008	949	910
CYP46A1_29339	CYP46A1	1515	1492	1347	1383
RNF217_62881	RNF217	1552	1608	1056	1327
MTA3_45655	MTA3	364	493	391	462
ALDOB_645	ALDOB	882	1017	865	797
ZNF891_76302	ZNF891	1229	1607	1273	1126
CCR4_3450	CCR4	1269	1398	1383	1415
CTPS2_44251	CTPS2	759	944	620	794
CHRNA5_3233	CHRNA5	2003	2050	2018	2095
OFD1_22057	OFD1	1119	1235	657	1052
CADPS2_56597	CADPS2	387	420	283	353
FASLG_1009	FASLG	520	644	460	475
OR8A1_71749	OR8A1	1222	1228	1000	1173
FBXO9_34891	FBXO9	510	540	611	582
HECTD4_67369	HECTD4	715	763	582	480
LOC100144595_75520	LOC100144595	1329	1659	1405	1751
LAYN_61245	LAYN	1010	1038	789	1029
STON1_29923	STON1	787	997	642	809
SLC39A14_33015	SLC39A14	865	869	659	899
NUP62CL_40699	NUP62CL	1532	1850	1414	1426
TCEAL8_55643	TCEAL8	646	462	437	479
GABRG3_6789	GABRG3	976	975	514	624
GRHL1_36651	GRHL1	2085	2121	2014	2424
JUP_9925	JUP	1563	2014	1911	2235
RGL1_31983	RGL1	1173	1305	1289	1480
OGFOD1_42043	OGFOD1	754	1209	750	933
CYC1_4317	CYC1	578	821	1124	1436
ITIH2_9837	ITIH2	798	952	841	820
RPL15_16349	RPL15	69	183	789	732
ADH6_353	ADH6	2325	2667	1917	2237
SOCS2_23141	SOCS2	1662	1832	1959	1746
EFTUD1_49447	EFTUD1	577	725	756	771
PNMA3_36855	PNMA3	1992	1948	1870	1974
ZBTB9_65833	ZBTB9	1063	1224	783	704
CWF19L1_42179	CWF19L1	503	639	764	656
CLVS1_63065	CLVS1	760	718	739	784
RIBC1_63217	RIBC1	1421	1531	1244	1052
IRAK2_9689	IRAK2	2061	2116	1764	1815
TLX2_8625	TLX2	572	516	446	611
ITFG1_51627	ITFG1	552	711	644	806
RDH10_63009	RDH10	2162	2818	2027	2194
FAM9C_64297	FAM9C	834	1054	667	876
ARL13B_64777	ARL13B	898	1003	1102	907
CCDC173_59753	CCDC173	723	666	443	639
MSANTD4_53591	MSANTD4	757	707	548	507
GTF2IRD2B_71405	GTF2IRD2B	1179	1198	1076	1110
IFI16_9173	IFI16	2051	2501	2037	2347
GLIPR1L2_61301	GLIPR1L2	1078	958	720	867
ZPBP2_58789	ZPBP2	557	649	551	589
WDR35_45775	WDR35	1204	1283	1168	1244
SLC22A23_47031	SLC22A23	611	886	498	463
GINS3_48055	GINS3	469	663	422	420
MRPS9_48299	MRPS9	582	818	1141	1270
JAKMIP2_26125	JAKMIP2	1340	1413	1199	1434
CLEC4D_68717	CLEC4D	322	432	603	346
MSI2_58765	MSI2	2134	2494	1750	1706
CHRNG_3265	CHRNG	1646	1843	1950	2166
TBXAS1_18785	TBXAS1	1551	1730	1823	1575
UROS_20041	UROS	814	639	576	721
KIF22_10261	KIF22	890	625	773	916
SLAIN1_58449	SLAIN1	682	930	1038	812
AMPD3_745	AMPD3	1147	1089	849	1063
ZMAT1_53659	ZMAT1	514	645	465	458
SLC13A4_34883	SLC13A4	773	1364	797	1140
PHF6_53383	PHF6	868	1018	910	1435
TRDN_27813	TRDN	1104	1454	1294	1284
DDB2_4601	DDB2	811	729	906	948
CDC42BPA_22041	CDC42BPA	635	882	864	767
NPM3_27841	NPM3	538	570	633	734
RGS6_25409	RGS6	374	551	462	522
RAD17_15721	RAD17	518	246	926	1058
DNAJC2_35383	DNAJC2	285	318	496	474
S100A12_16757	S100A12	799	949	797	894
PYGO2_55615	PYGO2	688	819	748	693
ADGRD1_67341	ADGRD1	559	517	527	464
FAM65B_25845	FAM65B	1283	1427	1484	1422
UBR7_41719	UBR7	1592	1633	1752	1561
TMEM208_36471	TMEM208	740	821	959	1021
EFHB_62545	EFHB	1549	1847	1409	1850
KIAA0513_25893	KIAA0513	909	959	1027	1579
BHMT2_33511	BHMT2	1299	1797	1483	1369
PPP2CA_14605	PPP2CA	745	794	550	907
SLC35E1_50415	SLC35E1	583	711	502	589
TMEM14A_36279	TMEM14A	841	758	751	856
ZNF331_42495	ZNF331	1726	1524	1192	1255
ZNF471_45887	ZNF471	582	634	565	614
CDK11B_2781	CDK11B	190	233	189	226
RBMX2_39183	RBMX2	1692	1884	1878	1978
SCN2B_16885	SCN2B	613	648	767	766
ZNF805_71889	ZNF805	1497	1271	1171	1462
FAM73A_70417	FAM73A	427	399	490	740
ACER3_42351	ACER3	772	849	674	696
ZNF627_64553	ZNF627	1599	1842	1429	1616
PFDN4_13725	PFDN4	678	714	591	742
HERC2_23409	HERC2	912	802	577	628
EEFSEC_47003	EEFSEC	229	277	447	439
C6orf48_37419	C6orf48	994	1558	1080	1211
SMC6_49607	SMC6	184	187	264	280
DCLK1_24161	DCLK1	1793	2146	1652	1812
GLO1_7233	GLO1	758	1029	615	715
UBN1_36675	UBN1	890	1122	948	953
IGF2BP2_28779	IGF2BP2	1864	1819	1722	1779
UTP14C_25745	UTP14C	1126	1514	1180	1130
ATF7IP_43171	ATF7IP	1437	1694	1256	1096
SPDYC_70853	SPDYC	587	525	839	781
RASGRF1_15865	RASGRF1	1091	1259	1071	1013
ZNF529_46303	ZNF529	1018	1000	1349	1341
SHOX_17325	SHOX	1068	1249	925	1173
LMTK2_31003	LMTK2	1559	1627	1168	1232
MICALL2_49911	MICALL2	1423	1763	1676	2110
BBOX1_21889	BBOX1	388	316	529	494
RBPMS_29899	RBPMS	377	309	278	262
TUSC3_21157	TUSC3	1042	1283	996	1185
RALBP1_29575	RALBP1	794	530	599	774
OPA1_13037	OPA1	155	349	1070	1190
C10orf131_75140	C10orf131	490	550	623	692
GPX8_73401	GPX8	436	537	724	739
SEC22B_25197	SEC22B	91	108	662	541
CALML4_56029	CALML4	861	1018	1128	1113
TOB1_27137	TOB1	814	818	921	778
PXYLP1_56237	PXYLP1	902	996	943	1272
SYNM_32499	SYNM	312	421	368	506
C10orf25_65641	C10orf25	984	791	652	986
ZNF324_33739	ZNF324	1992	2124	1749	1978
PCDHB12_43959	PCDHB12	531	640	375	381
EVC2_60105	EVC2	1792	2126	1629	1896
APBB3_27697	APBB3	1544	1567	1342	1438
ADGB_49831	ADGB	831	1095	845	664
PDAP1_30787	PDAP1	1569	1819	1249	1541
CXorf57_41523	CXorf57	1306	1263	945	905
ZNF326_67965	ZNF326	842	835	936	932
CCDC173_59754	CCDC173	662	640	804	653
ANAPC5_38747	ANAPC5	507	414	939	1007
STRAP_30359	STRAP	416	284	972	766
PCP4L1_74454	PCP4L1	636	603	529	640
NCBP2_31219	NCBP2	338	279	672	575
AIF1_549	AIF1	905	936	509	510
NINL_31359	NINL	616	857	658	668
APIP_37703	APIP	1346	1189	1436	1472
NCAM2_12233	NCAM2	1750	1837	1454	1806
SLC15A5_74820	SLC15A5	259	394	321	362
PDRG1_51723	PDRG1	170	244	555	700
NPAP1_33507	NPAP1	768	1020	878	815
HMGA1_8513	HMGA1	141	184	221	219
GUCA2A_7997	GUCA2A	565	775	517	594
SF3B1_32839	SF3B1	184	242	1595	1318
NEK5_69345	NEK5	958	1173	1033	1033
C21orf59_44387	C21orf59	737	441	1347	1332
IDI2_55969	IDI2	677	911	640	672
CYP2F1_4389	CYP2F1	1739	2106	1490	1699
OR10K2_71925	OR10K2	999	1091	813	1115
CLEC16A_32307	CLEC16A	2063	2088	1677	1865
POLR3E_43135	POLR3E	25	56	1348	1694
STK17A_24345	STK17A	472	519	340	382
RPLP1_16461	RPLP1	37	56	233	367
ZNF329_49591	ZNF329	751	959	664	971
TMEM38B_41731	TMEM38B	1773	1770	1790	1910
CD163L1_67309	CD163L1	841	1038	842	803
C17orf102_72225	C17orf102	994	896	899	938
CCDC169-SOHLH2_76022	CCDC169-SOHLH2	674	879	788	566
DNAJA4_42527	DNAJA4	1169	1187	1177	1071
KIAA1456_45991	KIAA1456	818	750	600	663
KCNS2_10133	KCNS2	620	959	968	878
SKAP1_22493	SKAP1	2099	2332	2146	2296
FAM135B_37647	FAM135B	1149	1201	1241	1776
PPP3CB_14669	PPP3CB	1565	1629	1434	1230
OR2L8_71949	OR2L8	945	830	687	771
GDNF-AS1_76234	GDNF-AS1	701	963	720	802
DOCK1_4957	DOCK1	930	1109	847	1034
NAP1L2_12193	NAP1L2	768	784	842	672
DCAF16_40855	DCAF16	1454	1495	1317	1644
AKR1C4_3137	AKR1C4	958	940	691	802
CCDC152_75236	CCDC152	898	1072	1053	1195
OR6C75_71757	OR6C75	848	971	900	904
OR6P1_59517	OR6P1	909	740	509	667
ALS2_46195	ALS2	523	563	552	585
GNPDA2_60093	GNPDA2	1090	1177	969	1119
CYP3A7_4353	CYP3A7	455	599	376	335
LLPH_53392	LLPH	821	1031	782	997
OR4F5_49259	OR4F5	178	276	707	768
DMTN_5637	DMTN	1440	1604	1142	1296
GALNT3_6853	GALNT3	891	1019	748	1011
GRINA_7773	GRINA	645	729	554	768
ZNF302_43687	ZNF302	2005	1867	1765	1504
TBCA_18737	TBCA	398	525	399	438
FAM227B_64473	FAM227B	1314	1389	786	966
FCER2_6141	FCER2	442	448	543	543
NME5_21789	NME5	830	971	876	886
C1orf110_68981	C1orf110	1422	1764	1420	1810
CBX1_29647	CBX1	1642	1678	1619	1907
PLEKHN1_52835	PLEKHN1	545	583	567	766
ADAM9_22889	ADAM9	704	706	694	866
MRPS31_27477	MRPS31	1106	1517	1200	1610
PMM2_14261	PMM2	382	540	507	688
CCDC112_62821	CCDC112	326	361	402	347
ARHGEF38_40751	ARHGEF38	459	554	327	367
PEX2_15585	PEX2	712	884	700	847
NANP_61017	NANP	557	799	449	497
APIP_37704	APIP	328	288	237	334
CD86_2633	CD86	587	526	464	423
IL5RA_9429	IL5RA	1625	1780	1316	1825
ZNF528_53587	ZNF528	760	688	489	714
GRIK1_7733	GRIK1	566	556	381	420
FAM129A_57781	FAM129A	742	844	536	519
SHCBP1_49983	SHCBP1	175	175	265	395
EXOC1_43295	EXOC1	565	668	700	856
SLC44A3_59257	SLC44A3	365	299	478	618
ALDH1A2_23205	ALDH1A2	1038	1075	904	977
DDX19B_30651	DDX19B	884	1064	1223	1369
UGGT2_43271	UGGT2	768	1049	772	958
FRRS1L_33499	FRRS1L	1730	1936	1612	1765
FAM13B_38439	FAM13B	457	432	398	411
SERPINB3_16853	SERPINB3	652	785	534	639
FKBP7_39251	FKBP7	438	573	594	628
KIAA1841_53775	KIAA1841	1001	1147	1285	1305
AGPAT5_42331	AGPAT5	1423	1863	1376	1569
EIF3I_22625	EIF3I	1861	1812	2197	2637
CD59_2725	CD59	1269	1045	1189	1033
HSD17B6_22489	HSD17B6	887	1026	1047	1075
METTL25_53087	METTL25	1140	1458	955	1128
SERPINB4_16857	SERPINB4	699	645	669	716
PKD2L2_35459	PKD2L2	648	765	488	739
SPATA22_54039	SPATA22	342	334	373	440
RAB39A_40455	RAB39A	1570	1827	1477	1539
C7orf72_75340	C7orf72	905	909	605	856
TMEM31_65121	TMEM31	1306	1436	1209	1489
PPP2R2A_14621	PPP2R2A	450	427	279	363
ADAM18_22881	ADAM18	694	771	539	691
PHLDB3_74354	PHLDB3	970	1018	1173	1495
PRRT2_56793	PRRT2	874	825	753	1033
COMMD8_41103	COMMD8	1332	1191	1010	1104
BIVM-ERCC5_76174	BIVM-ERCC5	363	544	589	844
UVRAG_20077	UVRAG	1270	1174	787	1119
C17orf105_67609	C17orf105	531	667	710	741
RPL39_16445	RPL39	79	59	401	317
CABYR_34851	CABYR	445	470	321	300
FBP1_6121	FBP1	371	416	585	718
OR5T2_65265	OR5T2	1029	1199	838	1020
PRSS38_68977	PRSS38	412	437	527	493
RPL10L_60977	RPL10L	841	904	727	698
PRY2_73281	PRY2	1439	1591	1322	1647
PHF7_38967	PHF7	1427	1368	1730	2179
CT45A7_76306	CT45A7	588	915	459	555
ABCA5_32859	ABCA5	781	653	660	804
PROZ_23213	PROZ	334	505	641	436
OR13C3_60621	OR13C3	1007	1101	957	1122
HIATL1_53911	HIATL1	982	914	948	1256
CEP295NL_76218	CEP295NL	604	938	712	771
ZNF460_29183	ZNF460	1661	1937	2103	1611
DNAJC15_36483	DNAJC15	435	398	300	321
AUH_1513	AUH	1400	1624	1402	1634
ZNF543_58957	ZNF543	671	725	693	749
CCDC158_69057	CCDC158	1493	2152	1451	2092
OLAH_42259	OLAH	941	1128	944	1019
GFY_75926	GFY	1522	1728	1675	1611
TIMM21_36439	TIMM21	2144	2452	2120	2269
DCD_57913	DCD	1509	1651	1817	1939
PDP1_40415	PDP1	658	626	530	586
ALG6_36815	ALG6	732	810	910	891
BUB1B_1937	BUB1B	122	122	318	321
ZEB2_26141	ZEB2	593	568	779	1274
NAPA_22937	NAPA	125	328	1064	1157
TRO_19593	TRO	1985	1733	1903	1973
ATRAID_38631	ATRAID	652	819	563	615
ZNF469_53871	ZNF469	547	627	707	855
UBR3_59817	UBR3	882	860	895	1273
CARD8_31163	CARD8	1502	1258	983	1062
AP1S1_3321	AP1S1	627	744	565	512
TJP3_35659	TJP3	644	873	422	514
CFAP221_64705	CFAP221	1095	1358	961	1035
SIDT2_37767	SIDT2	745	684	843	902
RBM48_52799	RBM48	654	839	1116	1371
BRCA2_1869	BRCA2	805	535	859	808
KHDRBS2_65005	KHDRBS2	511	434	464	545
DSC1_5065	DSC1	900	700	555	695
ABCC1_11741	ABCC1	1054	1000	1117	1307
OR6Q1_65449	OR6Q1	813	802	746	637
USP28_46111	USP28	831	945	914	1099
YWHAZ_20405	YWHAZ	886	906	1040	1169
MMP20_24449	MMP20	1427	1700	1143	1470
MMP13_11621	MMP13	614	664	626	543
HMGB3_8485	HMGB3	767	993	776	1011
ZNF645_63185	ZNF645	1408	1715	1368	1346
EI24_25149	EI24	476	539	503	359
ARL6IP1_32067	ARL6IP1	432	341	216	300
MOB4_33883	MOB4	493	369	410	762
IL36A_35755	IL36A	1428	1606	1161	1523
SPINT4_71977	SPINT4	445	405	330	454
CARF_49979	CARF	404	501	510	678
ANKRD46_63013	ANKRD46	549	576	555	680
RAB11FIP2_30963	RAB11FIP2	847	841	928	786
PDRG1_51724	PDRG1	136	158	417	501
DRICH1_38199	DRICH1	977	974	776	925
SIGLEC5_22949	SIGLEC5	654	623	451	499
CDKAL1_40943	CDKAL1	857	1034	808	895
IFIT3_9197	IFIT3	921	1159	1307	1134
COG2_30851	COG2	786	623	707	722
FITM1_63405	FITM1	614	584	450	473
FER1L6_74442	FER1L6	1177	1333	1122	1196
FIP1L1_51771	FIP1L1	802	1005	857	741
DDX18_23301	DDX18	433	438	629	687
ARHGEF7_23257	ARHGEF7	1041	1653	1083	1067
GET4_39135	GET4	437	505	573	668
AVL9_31667	AVL9	978	1208	932	966
U2AF1_19805	U2AF1	105	119	828	688
LYG2_66493	LYG2	1678	1862	2035	1918
ESF1_39071	ESF1	516	759	651	831
OLFM4_28497	OLFM4	2705	3229	1952	2120
KCNIP1_37099	KCNIP1	1080	1010	597	739
HSPB11_39271	HSPB11	1055	948	872	1000
TES_34635	TES	1004	1070	988	1001
HHIPL2_49987	HHIPL2	922	1160	829	907
SYT10_69313	SYT10	790	1003	590	708
ZSCAN12_25857	ZSCAN12	987	1369	936	1128
NEMF_24021	NEMF	775	818	882	763
LRFN1_46051	LRFN1	2455	3269	2429	2227
ZNF124_20649	ZNF124	2090	2400	1751	1954
MSTN_7029	MSTN	541	723	585	556
SUCLG1_23025	SUCLG1	582	716	547	714
GULP1_38799	GULP1	477	470	465	444
UBE3A_19885	UBE3A	1122	1271	1083	1182
C7orf72_75341	C7orf72	1400	1378	1162	1114
FREM2_69341	FREM2	675	795	683	928
FAM72C_73574	FAM72C	111	40	378	427
RB1_15873	RB1	2163	1768	1394	1495
CDK15_48379	CDK15	1049	990	714	963
TMEM244_66317	TMEM244	1102	1160	1319	1365
LZIC_53495	LZIC	697	750	665	848
NHLRC2_70253	NHLRC2	585	751	1406	1399
RWDD4_64957	RWDD4	424	683	536	758
SSR4_18269	SSR4	1921	2577	2006	2017
CARD6_53995	CARD6	670	560	629	787
DDX52_29971	DDX52	805	1019	1279	1386
TSFM_27013	TSFM	33	66	756	858
SLC39A9_42363	SLC39A9	1057	927	1197	1783
SLC9B1_62261	SLC9B1	778	970	717	628
TCP11X2_76270	TCP11X2	2108	2523	1843	2266
SCAPER_37175	SCAPER	559	707	524	894
IRGM_69693	IRGM	917	1106	848	864
PTCD3_41395	PTCD3	570	1117	1933	2674
PSMD14_27377	PSMD14	300	313	1254	1226
RHOJ_45395	RHOJ	980	1214	1041	1418
CLTB_3429	CLTB	1304	1069	837	1137
GPR82_35783	GPR82	1298	1385	1212	1274
TMEM167B_44511	TMEM167B	1875	1773	2204	2337
BANK1_41351	BANK1	1792	1934	1197	1751
SELT_39355	SELT	458	495	678	826
RSBN1_40379	RSBN1	2232	1911	2344	2553
AGL_501	AGL	877	885	828	1072
PTPRA_15457	PTPRA	531	562	546	495
MOB1B_56289	MOB1B	789	850	785	1167
GBGT1_34983	GBGT1	1648	1824	1923	2167
EVA1C_46727	EVA1C	809	980	924	930
RPS13_16557	RPS13	41	124	549	624
PTGES3L-AARSD1_76254	PTGES3L-AARSD1	884	803	887	781
C2CD2_34216	C2CD2	1546	2055	1833	1780
ZNF529_46304	ZNF529	1915	2058	1832	2148
TEC_18957	TEC	481	639	409	642
ZNF586_40619	ZNF586	727	933	860	1019
TMEM2_33447	TMEM2	824	784	618	571
IFRD2_21017	IFRD2	1681	1672	1672	1620
SAMD9_40627	SAMD9	1381	1522	1090	1300
HTR2B_9037	HTR2B	632	787	627	593
RAD50_27042	RAD50	165	179	507	514
TCEA3_18797	TCEA3	755	716	688	752
CDC37L1_42967	CDC37L1	826	1015	710	736
SMC5_31835	SMC5	155	188	778	614
FAM114A1_56309	FAM114A1	1731	2345	1725	1803
MAST4_70497	MAST4	675	908	858	762
KIFAP3_31235	KIFAP3	1167	1294	1013	1212
GIMAP1-GIMAP5_76062	GIMAP1-GIMAP5	1599	1816	1641	1699
GDF1_7021	GDF1	1465	1977	1254	1806
CBX3_30795	CBX3	657	908	539	735
FREM2_69342	FREM2	1012	1188	907	1301
OR2V2_68245	OR2V2	388	512	468	484
SPINK13_62753	SPINK13	1861	2061	1433	1849
RD3L_74190	RD3L	1052	1253	1087	1031
SACS_34927	SACS	762	700	585	504
VAPA_24217	VAPA	985	1047	1229	1230
NMRK1_41215	NMRK1	1380	1131	1000	1064
SLC3A1_17477	SLC3A1	1358	1181	1328	1462
TAS2R9_37379	TAS2R9	574	719	685	732
ZNF91_20633	ZNF91	909	987	756	683
GOLT1B_37579	GOLT1B	1017	1103	1110	1034
CCDC174_38223	CCDC174	525	551	503	450
OLFML1_67302	OLFML1	1248	913	1000	1274
CDC14B_22301	CDC14B	936	765	629	915
ZNF28_20533	ZNF28	903	755	848	907
CH25H_23613	CH25H	785	1007	886	946
UGGT2_43272	UGGT2	658	611	628	914
ZFAT_46055	ZFAT	3112	3188	3064	3380
PLEKHA3_48519	PLEKHA3	578	753	454	649
EI24_25150	EI24	674	520	548	445
ANKRD30A_55727	ANKRD30A	487	597	571	742
EIF4A1_5433	EIF4A1	137	167	428	536
ARPC5_26973	ARPC5	552	757	673	819
POLE2_14349	POLE2	228	37	1080	962
MOB1A_42023	MOB1A	1548	1609	1788	2035
NMNAT3_70013	NMNAT3	1641	1737	1360	1180
TAS2R50_67013	TAS2R50	1323	1460	1431	1394
CPO_59861	CPO	802	910	733	972
SLC22A7_29355	SLC22A7	1626	2089	1402	1699
KNTC1_25789	KNTC1	233	321	505	473
CWF19L1_42180	CWF19L1	451	435	885	953
MIA2_57893	MIA2	962	1166	888	876
AVEN_44971	AVEN	1018	1025	822	960
ZNF518A_26177	ZNF518A	1419	1468	1408	1358
MLC1_32083	MLC1	905	1039	469	805
DGKI_24061	DGKI	1391	1524	1087	1385
HSPA8_8949	HSPA8	897	1178	1635	1887
COL25A1_53819	COL25A1	593	682	950	1056
KRT222_58909	KRT222	675	874	845	747
SPOCK1_18085	SPOCK1	643	807	837	805
PPIE_28117	PPIE	158	96	367	463
FAM151A_68693	FAM151A	1070	1062	1891	1832
GBP6_63677	GBP6	319	320	507	760
CORO2B_27925	CORO2B	1865	2262	1781	2030
TRIM49C_73698	TRIM49C	1061	973	1674	1962
LOC81691_51867	LOC81691	1046	1075	953	1020
AATF_35171	AATF	434	436	813	833
MMAA_63905	MMAA	908	972	888	933
OR2T8_69517	OR2T8	2381	2933	2346	2799
OR2T33_71965	OR2T33	896	1163	958	1127
OR14I1_72533	OR14I1	1957	2259	1886	2250
KLF2_27857	KLF2	668	1405	1043	993
PATL2_64493	PATL2	623	676	627	710
PYHIN1_62205	PYHIN1	0	4	0	0
ZNF687_45955	ZNF687	140	112	957	1070
TMEM171_60241	TMEM171	909	1116	1324	1390
PGBD3_67097	PGBD3	410	410	516	399
FOXR1_67221	FOXR1	2143	1887	1970	2255
KHDRBS3_28819	KHDRBS3	854	832	756	781
PET100_75396	PET100	810	1184	1336	1794
CYP2C9_4373	CYP2C9	2922	2732	2399	2556
GJC3_70005	GJC3	1307	1404	1188	1223
CSPG4_4105	CSPG4	1006	1109	926	969
DBT_4557	DBT	903	972	663	740
ANKRD30A_55728	ANKRD30A	658	751	612	787
HOXB4_8689	HOXB4	463	552	511	635
RAD51C_15741	RAD51C	366	145	1003	1057
TCEAL7_44431	TCEAL7	1419	1941	1275	1771
CSPP1_50143	CSPP1	1761	1779	1531	1764
C14orf105_41883	C14orf105	2135	2225	2261	2379
EBF2_47863	EBF2	546	664	531	530
ELK3_5525	ELK3	1321	1439	1191	1850
ZNF879_69685	ZNF879	483	666	673	707
ADAMTS8_30099	ADAMTS8	907	857	562	629
TNFRSF11A_22985	TNFRSF11A	1084	1253	1284	1416
EXOC6_40171	EXOC6	350	427	311	461
DENND4A_27545	DENND4A	1374	1597	1319	1234
MUC3A_11909	MUC3A	1978	2074	1719	1980
